"","species","year","data","totalCatch"
"99","Pink",2008,"npafc",168405480
"100","Pink",2009,"npafc",208942670
"101","Pink",2010,"npafc",216144050
"102","Pink",2011,"npafc",242754210
"103","Pink",2012,"npafc",136874350
"104","Pink",2013,"npafc",470641270
"105","Pink",2014,"npafc",195672580
"106","Pink",2015,"npafc",383780730
"107","Sockeye",1910,"inpfc",19026510
"108","Sockeye",1911,"inpfc",17535165
"109","Sockeye",1912,"inpfc",28618681
"110","Sockeye",1913,"inpfc",50330657
"111","Sockeye",1914,"inpfc",33965987
"112","Sockeye",1915,"inpfc",26649744
"113","Sockeye",1916,"inpfc",30606600
"114","Sockeye",1917,"inpfc",42480861
"115","Sockeye",1918,"inpfc",36035259
"116","Sockeye",1919,"inpfc",16664440
"117","Sockeye",1920,"inpfc",25319052
"118","Sockeye",1921,"inpfc",29544812
"119","Sockeye",1922,"inpfc",38180578
"120","Sockeye",1923,"inpfc",32132558
"121","Sockeye",1924,"inpfc",25024243
"122","Sockeye",1925,"inpfc",21488609
"123","Sockeye",1926,"inpfc",35906039
"124","Sockeye",1927,"inpfc",22099416
"125","Sockeye",1928,"inpfc",30243066
"126","Sockeye",1929,"inpfc",24866274
"127","Sockeye",1930,"inpfc",19021857
"128","Sockeye",1931,"inpfc",24673972
"129","Sockeye",1932,"inpfc",29843665
"130","Sockeye",1933,"inpfc",36354865
"131","Sockeye",1934,"inpfc",37470422
"132","Sockeye",1935,"inpfc",15572793
"133","Sockeye",1936,"inpfc",39763603
"134","Sockeye",1937,"inpfc",36711549
"135","Sockeye",1938,"inpfc",41337939
"136","Sockeye",1939,"inpfc",29478973
"137","Sockeye",1940,"inpfc",16895173
"138","Sockeye",1941,"inpfc",22086168
"139","Sockeye",1942,"inpfc",23874567
"140","Sockeye",1943,"inpfc",29347736
"141","Sockeye",1944,"inpfc",21679001
"142","Sockeye",1945,"inpfc",19572134
"143","Sockeye",1946,"inpfc",24965503
"144","Sockeye",1947,"inpfc",30182917
"145","Sockeye",1948,"inpfc",23887505
"146","Sockeye",1949,"inpfc",16113954
"147","Sockeye",1950,"inpfc",20281593
"148","Sockeye",1951,"npafc",19305620
"149","Sockeye",1952,"npafc",33858330
"150","Sockeye",1953,"npafc",23585290
"151","Sockeye",1954,"npafc",19278740
"152","Sockeye",1955,"npafc",17421120
"153","Sockeye",1956,"npafc",29566720
"154","Sockeye",1957,"npafc",19781680
"155","Sockeye",1958,"npafc",12208390
"156","Sockeye",1959,"npafc",16153140
"157","Sockeye",1960,"npafc",35667920
"158","Sockeye",1961,"npafc",32162610
"159","Sockeye",1962,"npafc",18593370
"160","Sockeye",1963,"npafc",12430800
"161","Sockeye",1964,"npafc",19932180
"162","Sockeye",1965,"npafc",59540980
"163","Sockeye",1966,"npafc",30146710
"164","Sockeye",1967,"npafc",17152800
"165","Sockeye",1968,"npafc",16259310
"166","Sockeye",1969,"npafc",22833640
"167","Sockeye",1970,"npafc",55267850
"168","Sockeye",1971,"npafc",28359230
"169","Sockeye",1972,"npafc",13179230
"170","Sockeye",1973,"npafc",8980400
"171","Sockeye",1974,"npafc",9756660
"172","Sockeye",1975,"npafc",14906780
"173","Sockeye",1976,"npafc",23566700
"174","Sockeye",1977,"npafc",24920240
"175","Sockeye",1978,"npafc",36276740
"176","Sockeye",1979,"npafc",57445310
"177","Sockeye",1980,"npafc",66615210
"178","Sockeye",1981,"npafc",72685970
"179","Sockeye",1982,"npafc",57663850
"180","Sockeye",1983,"npafc",105450980
"181","Sockeye",1984,"npafc",76702110
"182","Sockeye",1985,"npafc",77968960
"183","Sockeye",1986,"npafc",64415070
"184","Sockeye",1987,"npafc",70859570
"185","Sockeye",1988,"npafc",60076000
"186","Sockeye",1989,"npafc",88278940
"187","Sockeye",1990,"npafc",105385520
"188","Sockeye",1991,"npafc",89293030
"189","Sockeye",1992,"npafc",116565020
"190","Sockeye",1993,"npafc",131352770
"191","Sockeye",1994,"npafc",106680320
"192","Sockeye",1995,"npafc",127477710
"193","Sockeye",1996,"npafc",107302090
"194","Sockeye",1997,"npafc",75246220
"195","Sockeye",1998,"npafc",47919580
"196","Sockeye",1999,"npafc",90153360
"197","Sockeye",2000,"npafc",71050130
"198","Sockeye",2001,"npafc",56338750
"199","Sockeye",2002,"npafc",49131880
"200","Sockeye",2003,"npafc",64927160
"201","Sockeye",2004,"npafc",92357630
"202","Sockeye",2005,"npafc",87472980
"203","Sockeye",2006,"npafc",88710420
"204","Sockeye",2007,"npafc",95605650
"205","Sockeye",2008,"npafc",79018730
"206","Sockeye",2009,"npafc",86887360
"207","Sockeye",2010,"npafc",94794530
"208","Sockeye",2011,"npafc",82160620
"209","Sockeye",2012,"npafc",72630640
"210","Sockeye",2013,"npafc",59509750
"211","Sockeye",2014,"npafc",98184090
"212","Sockeye",2015,"npafc",110819020
