"stk","yr","marCatch","frfnCatch","totalCatch","totalRun"
5,1959,0.052729,0.000851,0.05358,0.06379
5,1960,0.018893,0.000947,0.01984,0.025353
5,1961,0.02035,0.001094,0.021444,0.028737
5,1962,0.016154,0.000835,0.016989,0.024602
5,1963,0.011178,0.001085,0.012263,0.020946
5,1964,0.011011,0.001725,0.012736,0.017913
5,1965,0.016248,0.001436,0.017684,0.024308
5,1966,0.032436,0.001042,0.033478,0.039722
5,1967,0.010507,0.000285,0.010792,0.012071
5,1968,0.028844,0.001473,0.030317,0.040992
5,1969,0.021019,0.000671,0.02169,0.027227
5,1970,0.01629,0.001417,0.017707,0.022169
5,1971,0.009858,0.000303,0.010161,0.010962
5,1972,0.08434,0.006895,0.091235,0.102283
5,1973,0.012792,0.000184,0.012976,0.01569
5,1974,0.008847,0.00078,0.009627,0.01201
5,1975,0.006862,0.000601,0.007463,0.010072
5,1976,0.048521,0.001972,0.050493,0.059731
5,1977,0.001675,8.6e-05,0.001761,0.002378
5,1978,0.016297,0.000473,0.01677,0.019263
5,1979,0.003969,0.000363,0.004332,0.006108
5,1980,0.013207,0.000991,0.014198,0.019616
5,1981,0.003127,0.000117,0.003244,0.004059
5,1982,0.011121,0.000964,0.012085,0.015077
5,1983,0.005623,0.000411,0.006034,0.008814
5,1984,0.026673,0.00362,0.030293,0.049379
5,1985,0.006895,0.000617,0.007512,0.01115
5,1986,0.000831,0.000828,0.001659,0.003754
5,1987,0.001828,0.000853,0.002681,0.004117
5,1988,0.013574,0.001974,0.015548,0.035399
5,1989,0.01412,0.0011,0.01522,0.016867
5,1990,0.003011,0.000964,0.003975,0.004605
5,1991,0.000786,0.000259,0.001045,0.001509
5,1992,0.007301,0.022598,0.029899,0.044203
5,1993,0.010271,0.000431,0.010702,0.015749
5,1994,0.000683,0.00061,0.001293,0.005856
5,1995,0.000332,0.000395,0.000727,0.001771
5,1996,0.009344,0.009938,0.019282,0.065874
5,1997,0.01679,0.003129,0.019919,0.024409
5,1998,0.000849,0.002128,0.002977,0.015531
5,1999,0.002145,0.007795,0.00994,0.047468
5,2000,0.014255,0.013117,0.027507,0.093799
5,2001,0.002125,0.012788,0.015807,0.048667
5,2002,0.006376,0.004612,0.011816,0.030185
5,2003,0.012841,0.005206,0.018881,0.037751
5,2004,0.059299,0.022244,0.083458,0.14292
5,2005,0.009966,0.009911,0.02033,0.087312
5,2006,0.009334,0.003705,0.01366,0.037398
5,2007,0.006609,0.001884,0.008492,0.025246
5,2008,0.003961,0.010586,0.014885,0.046703
5,2009,0.000855,0.000408,0.001285,0.015615
5,2010,0.003357,0.00083,0.004308,0.01006
5,2011,0.002711,0.002481,0.005632,0.0159
5,2012,0.002714,0.004867,0.007602,0.01937
5,2013,0.002123,0.001205,0.003327,0.023787
5,2014,0.028674,0.003956,0.033395,0.053487
5,2015,0.002882,0.000844,0.003728,0.023795
6,1952,0.000848,1e-04,0.000948,0.001132
6,1953,0.346132,0.00618,0.352312,0.463229
6,1954,0.001672,4.3e-05,0.001715,0.002014
6,1955,0.000338,1.2e-05,0.00035,0.000413
6,1956,0.00046,2.1e-05,0.000481,0.000562
6,1957,0.372112,0.008344,0.380456,0.604123
6,1958,0.008793,0.000256,0.009049,0.010912
6,1959,0.000115,0,0.000115,0.00018
6,1960,0.002154,8.9e-05,0.002243,0.002535
6,1961,0.659087,0.027928,0.687015,0.98958
6,1962,0.002331,0.000127,0.002458,0.003531
6,1963,9.1e-05,1.4e-05,0.000105,0.000188
6,1964,0.000997,0.00012,0.001117,0.001469
6,1965,0.782102,0.048999,0.831101,1.195807
6,1966,0.005892,0.000214,0.006106,0.007859
6,1967,0.000824,1.3e-05,0.000837,0.000956
6,1968,0.002058,5.5e-05,0.002113,0.002812
6,1969,1.334425,0.038721,1.373146,1.652107
6,1970,0.006355,0.000219,0.006574,0.007942
6,1971,0.001906,6.9e-05,0.001975,0.002146
6,1972,0.000346,4e-05,0.000386,0.000497
6,1973,1.316118,0.032403,1.348521,1.626582
6,1974,0.020745,0.002903,0.023648,0.028107
6,1975,0.000507,4.7e-05,0.000554,0.000747
6,1976,0.001007,7.1e-05,0.001078,0.001383
6,1977,1.737667,0.072997,1.810664,2.326863
6,1978,0.022753,0.001867,0.02462,0.033234
6,1979,0.002968,8.5e-05,0.003053,0.003564
6,1980,0.000736,0.00018,0.000916,0.001233
6,1981,2.89395,0.168215,3.062165,3.814486
6,1982,0.18221,0.023312,0.205522,0.245363
6,1983,0.009398,0.001059,0.010457,0.012612
6,1984,0.005053,0.000387,0.00544,0.006354
6,1985,7.986574,0.218018,8.204592,9.553855
6,1986,0.47113,0.059665,0.530795,0.712262
6,1987,0.060707,0.006575,0.067282,0.087828
6,1988,0.009546,0.002381,0.011927,0.018759
6,1989,10.079195,0.211261,10.290456,12.161366
6,1990,2.091348,0.136898,2.228246,2.716505
6,1991,0.231956,0.010331,0.242287,0.288546
6,1992,0.06309,0.003484,0.066574,0.085608
6,1993,7.520642,0.198348,7.71899,10.339444
6,1994,2.138329,0.268449,2.406778,3.236274
6,1995,0.133897,0.086743,0.22064,0.434743
6,1996,0.027136,0.012123,0.039259,0.080446
6,1997,4.295701,0.291681,4.587382,6.446034
6,1998,0.709984,0.265881,0.975865,2.666552
6,1999,0.022634,0.029946,0.05258,0.332449
6,2000,0.038728,0.014842,0.054018,0.117721
6,2001,0.503734,0.346845,0.870756,4.381545
6,2002,1.280717,0.402581,1.737996,4.800147
6,2003,0.31645,0.111813,0.442852,0.853991
6,2004,0.087665,0.050227,0.142373,0.271721
6,2005,0.565058,0.29233,0.885687,3.592122
6,2006,0.283197,0.071415,0.365086,0.719053
6,2007,0.020314,0.023712,0.044025,0.119125
6,2008,0.006109,0.018602,0.025306,0.067475
6,2009,0.013367,0.003712,0.01731,0.204103
6,2010,0.27004,0.05262,0.330115,0.611772
6,2011,0.027876,0.0265,0.057671,0.12149
6,2012,0.000195,0.000482,0.000679,0.00139
6,2013,0.023926,0.009333,0.033259,0.303431
6,2014,1.207348,0.187207,1.434343,2.416932
6,2015,0.009783,0.001839,0.011624,0.06713
7,1952,1.182185,0.051058,1.233243,1.718828
7,1953,0.606592,0.01885,0.625442,0.826133
7,1954,0.198089,0.008901,0.20699,0.241286
7,1955,0.519702,0.02562,0.545322,0.666489
7,1956,1.1753,0.036601,1.211901,1.858807
7,1957,0.435443,0.019082,0.454525,0.592989
7,1958,0.601147,0.011981,0.613128,0.733391
7,1959,0.976028,0.032962,1.00899,1.47205
7,1960,1.966814,0.060248,2.027062,2.453608
7,1961,0.11253,0.007567,0.120097,0.159198
7,1962,0.200166,0.021168,0.221334,0.299047
