scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,canER,usER,propMixHigh,propMixLow,varyAllocation,prodRegime,startYear,endYear,freqSkew,rho,correlCU,corrMat,adjustSig,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh
lowSigFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSigFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSigFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSigFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSigFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSigFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSigFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSigFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSigFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,0.4,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSigSkewFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.05,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSigSkewFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.5,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
lowSigSkewFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.75,FALSE,0.75,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSigSkewFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.05,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSigSkewFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.5,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
medSigSkewFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.75,FALSE,1,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSigSkewFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.05,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSigSkewFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.5,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
highSigSkewFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,0.4,0,1,0,FALSE,skew,NA,NA,0.3,0.2,0.75,FALSE,1.25,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001
