"entryYr","yr","stk","prod","ets","pinkCatch","soxCatch","pc2","pc2Prime","sst","sstPrime","pdoPrime","pdo","npgo","npgoPrime","ALPI"
1961,1963,8,0.826070194819466,0.049943,68551300,12430800,0.7484985,1.166909,9.04136622807018,7.3499,-0.62,-0.685833333333333,-0.235,-0.765,2.32
1962,1964,8,1.91997624805392,0.002712,90581520,19932180,0.315954583333333,0.77146825,8.38595394736842,6.71308026315789,-1.0325,-0.77,0.541666666666667,0.4375,0.74
1963,1965,8,1.82054471004033,0.00565,40694670,59540980,0.530629166666667,1.082718,8.37031754385965,6.60620394736842,-0.2,-0.314166666666667,-0.836666666666667,-0.9525,-1.62
1964,1966,8,1.70091277379786,0.025886,80102600,30146710,0.0139171666666667,0.55501775,8.30857719298246,6.66396184210526,-0.4,-0.459166666666667,-0.955,-1.2275,-1.88
1965,1967,8,2.86637562401965,0.012505,13118440,17152800,0.494601416666667,1.15974825,8.76250745614035,7.13386315789474,-1.1225,-0.734166666666667,-0.699166666666667,-1.065,-0.17
1966,1968,8,1.78814740100608,0.003698,89453210,16259310,0.0151763333333333,0.73631575,8.43302236842105,6.95113026315789,-0.555,-0.403333333333333,-0.851666666666667,-1.0225,-0.4
1967,1969,8,0.823275008143354,0.00653,51534760,22833640,-0.0808208333333333,-0.12274875,8.23056885964912,6.27850263157895,-0.0625,-0.0983333333333333,-0.386666666666667,-0.445,-2.72
1968,1970,8,3.30963520655006,0.008189,62294700,55267850,-0.0719541666666667,-0.38517225,8.38791798245614,6.82109868421053,0.3325,-0.3975,0.0616666666666667,0.055,3.69
1969,1971,8,2.05484086313857,0.017335,47056750,28359230,0.698331666666667,0.92797725,7.75293903508772,5.93664078947368,-1.5925,-1.29083333333333,0.380833333333333,0.55,-2.25
1970,1972,8,3.02694428627251,0.002752,31840770,13179230,1.05437466666667,1.70403675,8.11499342105263,6.24496052631579,-1.795,-0.921666666666667,-0.66,-0.72,-4.51
1971,1973,8,2.22913978274855,0.002669,19601020,8980400,-0.261576166666667,-0.00445499999999999,7.93043377192982,6.41839868421053,-0.73,-0.804166666666667,0.126666666666667,0.16,-1.62
1972,1974,8,1.75924592658605,0.042825,19717160,9756660,0.1355325,0.5354645,8.410875,6.39566710526316,-0.5025,-0.336666666666667,-0.01,0.0075,1.04
1973,1975,8,1.66429011428627,0.034208,25967540,14906780,-0.00657275,0.23962275,7.89276842105263,6.17010921052632,-0.9975,-1.10166666666667,0.799166666666667,0.6375,-1.84
1974,1976,8,0.800790181856274,0.008271,49501700,23566700,-0.975766916666667,-0.04394325,7.87392368421053,6.03363815789474,-0.8,0.00833333333333333,1.86333333333333,2.0925,-1.12
1975,1977,8,2.3168341799957,0.005463,57173700,24920240,-0.529971416666667,-0.640759,8.63719210526316,6.89376315789474,0.4375,0.230833333333333,1.24833333333333,1.2725,3.03
1976,1978,8,1.4310852789613,0.062613,107629260,36276740,-0.47136275,-0.87909275,8.5510552631579,6.89870657894737,0.92,0.235833333333333,0.503333333333333,0.51,2.32
1977,1979,8,1.03352652261786,0.048133,100271200,57445310,-0.31083675,0.0467065,8.96501052631579,7.22344342105263,0.6125,0.335,-0.735,-0.815,-0.99
1978,1980,8,1.88460900949899,0.008027,126563930,66615210,-0.35483825,-0.67495825,8.46378333333333,6.74428815789474,0.89,0.6025,-0.748333333333333,-0.5275,1.67
1979,1981,8,0.851545231244658,0.01121,120033290,72685970,-0.644707833333333,-1.1189445,8.82474605263158,7.32724736842105,1.47,0.918333333333333,-0.2225,-0.2775,5.09
1980,1982,8,2.09371726908938,0.062656,129656660,57663850,0.18777725,0.86089,8.24718333333333,6.51119342105263,-0.34,0.114166666666667,-0.686666666666667,-0.8825,-3.21
1981,1983,8,2.2198955969412,0.029515,120674100,105450980,-1.04904433333333,-1.32402,8.85296403508772,7.31431184210526,2.035,1.64833333333333,-0.0933333333333333,-0.2775,6.69
1982,1984,8,0.740710898854193,0.017172,152480530,76702110,-0.57361175,-0.692157,8.76516710526316,7.09428815789474,1.1925,0.8375,0.62,0.9,1.68
1983,1985,8,2.04817487617577,0.00562,180679220,77968960,0.48987125,-0.00105974999999999,8.58830263157895,6.56744868421053,0.235,0.449166666666667,-0.3925,0.1675,-1.64
1984,1986,8,1.88915343303115,0.124614,154639790,64415070,0.00973933333333333,-0.0713145,8.9165149122807,6.94752763157895,1.445,1.23916666666667,-0.734166666666667,-0.6525,5.2
1985,1987,8,1.71383908459098,0.079676,92973780,70859570,-1.54748666666667,-1.24994875,8.57997368421053,6.96788815789474,1.71,1.82083333333333,0.429166666666667,0.355,3.62
1986,1988,8,-0.418020833699504,0.01647,100715210,60076000,-1.53446141666667,-1.71514475,8.25540350877193,6.56655263157895,1.075,0.531666666666667,1.32416666666667,1.515,1.21
1987,1989,8,1.23192423950625,0.005507,193738080,88278940,0.261340083333333,-0.06580675,8.78546447368421,6.7550802631579,-0.08,-0.179166666666667,0.610833333333333,0.7025,-2.68
1988,1990,8,0.0343942538365603,0.2694,176416460,105385520,0.515572333333333,0.21634875,8.77868464912281,7.05528684210526,0.1325,-0.355833333333333,-0.2025,0.18,-0.87
1989,1991,8,-0.284562984609911,0.126869,256678720,89293030,0.995795416666667,1.4996075,8.92748464912281,7.14373552631579,-0.9325,-0.419166666666667,-0.498333333333333,-0.3675,0.45
1990,1992,8,1.13732827051309,0.005742,121036070,116565020,0.0784719166666667,0.521796,8.87683201754386,7.38718552631579,1.055,0.928333333333333,-1.09583333333333,-1.35,2.14
1991,1993,8,-0.149254427665249,0.010119,219586490,128625220,-0.0141966666666667,-0.19371375,9.17213421052632,7.38329078947368,1.61,1.41666666666667,-1.90166666666667,-1.3175,-0.94
1992,1994,8,1.00090616203869,0.063419,232699290,104839320,0.59887475,0.04592525,8.9946100877193,7.35500394736842,0.885,-0.151666666666667,-1.21166666666667,-1.055,-0.63
1993,1995,8,0.319497203875084,0.047979,256653510,127063860,-0.16020225,-0.06013575,8.69613903508772,6.88428157894737,1.0775,0.6425,-1.03833333333333,-1.605,1.59
1994,1996,8,0.651755801678729,0.020569,195674540,100547700,0.760865416666667,0.7136115,8.88469736842105,7.38584473684211,1.4375,0.640833333333333,-0.971666666666667,-0.98,0.86
1995,1997,8,0.0181681612946368,0.001909,143898240,62173380,-0.0405519166666667,0.4869855,9.29799254385965,7.52632236842105,1.5725,1.46083333333333,-0.658333333333333,-0.7375,0.49
1996,1998,8,1.87837913920951,0.032769,209559090,45446020,-0.50994525,-0.7094895,8.83199912280702,7.33244210526316,1.095,0.245833333333333,0.544166666666667,0.4525,4.58
1997,1999,8,1.98611603347484,0.018379,292188610,89358100,-0.4580415,-0.52174,8.02687061403509,6.10373552631579,-0.68,-1.06333333333333,1.51416666666667,1.7825,0.13
1998,2000,8,0.86162017421495,0.025164,150345560,66939670,0.0113338333333333,-0.75923875,8.6173447368421,6.71398157894737,0.0375,-0.59,1.885,2.21,0.26
1999,2001,8,1.06230841534235,0.006582,255703170,53046850,-0.558821333333333,-1.09048225,8.44987587719298,6.78390526315789,-0.1575,-0.5625,2.08,2.2225,1.5
2000,2002,8,1.50483114671774,0.112727,174621690,44420500,-0.279558,0.14997325,8.92188815789474,6.94761710526316,-0.4325,0.220833333333333,1.47333333333333,1.3775,-0.37
2001,2003,8,-0.951950701294986,0.031286,248485540,61824580,-0.867155666666667,-1.0431685,9.00860921052632,7.28498815789474,1.065,0.969166666666667,0.958333333333333,1.0725,2.8
2002,2004,8,1.66327694917534,0.001311,199867580,89690520,0.160877083333333,-0.313549,9.14279210526316,7.35729210526316,0.525,0.345,0.210833333333333,0.375,2.83
2003,2005,8,0.778579281902101,0.00359,322503820,86775580,0.319264166666667,-0.000276750000000003,9.38605833333333,7.93380657894737,1.355,0.375,-1.38,-1.3125,0.9
2004,2006,8,2.38567765857382,0.100612,145642670,83297130,0.4109765,-0.0443465,8.62094035087719,6.80433684210526,0.4925,0.190833333333333,-0.555833333333333,-0.3825,0.37
2005,2007,8,0.626453476523726,0.009777,288174400,94936380,-0.0261203333333333,-0.012115,8.29364078947368,6.35093157894737,-0.0525,-0.195833333333333,0.593333333333333,0.4075,0.55
2006,2008,8,1.36140608671013,0.000601,168179230,78196300,0.4448555,0.27582025,8.00386710526316,6.13212763157895,-1.235,-1.2925,1.45666666666667,1.4475,-1.1
2007,2009,8,2.21423694446599,0.005134,194410920,86660980,0.60462975,1.447528,8.3715600877193,6.70554868421053,-1.1075,-0.6125,0.735,0.4175,-3.96
2008,2010,8,-0.526336313166539,0.501183,215363970,82587910,-0.245291,-0.55974675,8.48084824561404,6.62697894736842,0.405,-0.3125,1.37083333333333,1.485,4.08
1948,1950,9,2.10837203534438,1.203508,19974002,14374000,0.7174285,1.03326975,8.05403114035088,6.30022894736842,-1.5825,-1.81,-0.766666666666667,-0.76,-1.93
1949,1951,9,1.34727857627512,0.137595,56852260,19305620,0.6478665,0.89307975,8.49974692982456,6.35879473684211,-0.9,-0.769166666666667,-0.96,-0.91,-1.83
1950,1952,9,0.926351207093236,0.007101,39723150,33858330,0.8287015,1.360609,8.39068421052632,6.45325657894737,-1.0275,-0.865833333333333,-0.64,-0.675,-2.87
1951,1953,9,2.24915079763573,0.003273,31341920,23585290,-0.293140666666667,-0.40295,8.40827324561404,6.58963289473684,-0.0875,-0.156666666666667,1.0825,1.2,2.2
1952,1954,9,2.16570261875511,1.814358,45780940,19278740,-0.0640175,0.0970695,8.50023070175439,6.50329078947368,-0.2175,-0.290833333333333,0.206666666666667,-0.0675,-2.32
1953,1955,9,2.61462957902183,0.063313,49649860,17421120,0.60204975,0.41691725,8.19854122807017,6.39219473684211,-1.72,-1.94833333333333,-0.0758333333333333,0.015,-2.62
1954,1956,9,0.921508736358105,0.003173,52841260,29566720,0.695884666666667,0.60312625,8.2941298245614,6.52609078947368,-1.96,-1.80416666666667,0.0683333333333333,0.1475,-4.68
1955,1957,9,-0.159024983987892,0.002605,27508230,19781680,0.718662666666667,1.38341775,9.27612280701754,7.50844473684211,0.445,0.2275,-1.14916666666667,-1.2025,-1.6
1956,1958,9,-0.0114396910945971,2.229811,52198580,12208390,-0.732347916666667,-0.50357175,8.99038771929825,7.66192368421053,0.98,0.643333333333333,-0.546666666666667,-0.86,2.12
1957,1959,9,1.04448586850206,0.134516,21860770,16153140,-0.2245305,-0.28601875,8.68709956140351,6.98430131578947,-0.075,-0.0266666666666667,-0.204166666666667,-0.4125,-2.16
1958,1960,9,0.314613442808714,0.00185,32158610,35667920,-1.01624241666667,-1.19397875,8.37283421052632,6.56652763157895,0.3575,0.0575,0.7475,0.72,-0.35
