"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"88","med","Low Prod.","stabilityCatch","0.75","high",1.27131421621031,1.02146897227583,1.56184757187561
"89","med","Low Prod.","stabilityCatch","0.05","low",1.51462738321474,1.05621817626369,1.94498189107633
"90","med","Low Prod.","stabilityCatch","0.5","med",1.38316983805066,1.04328785962809,1.71854127406211
"91","high","Low Prod.","medRecRY","0.75","high",3.24424891365932,2.34586964111518,4.32695005825455
"92","high","Low Prod.","medRecRY","0.05","low",7.18720616791206,5.8664388717865,8.84687697777119
"93","high","Low Prod.","medRecRY","0.5","med",4.12068408359169,3.14492243068185,5.49168012644119
"94","high","Low Prod.","ppnCUUpper","0.75","high",0.156944444444444,0.112430555555556,0.197291666666666
"95","high","Low Prod.","ppnCUUpper","0.05","low",0.298611111111111,0.267986111111112,0.330555555555556
"96","high","Low Prod.","ppnCUUpper","0.5","med",0.194444444444444,0.156875,0.234791666666666
"97","high","Low Prod.","ppnCUExtant","0.75","high",0.888888888888889,0.888888888888889,1
"98","high","Low Prod.","ppnCUExtant","0.05","low",1,0.944444444444444,1
"99","high","Low Prod.","ppnCUExtant","0.5","med",0.944444444444444,0.888888888888889,1
"100","high","Low Prod.","medCatch","0.75","high",1.05789493124014,0.753170786123157,1.43437001443215
"101","high","Low Prod.","medCatch","0.05","low",2.48314271794512,1.94621488264284,3.07158871984601
"102","high","Low Prod.","medCatch","0.5","med",1.36919305668139,1.04455782348135,1.78749409731912
"103","high","Low Prod.","ppnYrsHighCatch","0.75","high",0.55,0.375,0.701249999999999
"104","high","Low Prod.","ppnYrsHighCatch","0.05","low",0.9,0.825,0.95
"105","high","Low Prod.","ppnYrsHighCatch","0.5","med",0.675,0.525,0.825
"106","high","Low Prod.","stabilityCatch","0.75","high",1.07934903697505,0.847094021921047,1.37212391353003
"107","high","Low Prod.","stabilityCatch","0.05","low",1.34455467062556,0.961582136960948,1.73418412349623
"108","high","Low Prod.","stabilityCatch","0.5","med",1.20790196072211,0.898959613210864,1.5396091774692
"109","low","Very Low Prod.","medRecRY","0.75","high",3.79787607063568,2.51690027587305,5.11972744983077
"110","low","Very Low Prod.","medRecRY","0.05","low",7.12471126073812,5.70950781365727,8.6362796339506
"111","low","Very Low Prod.","medRecRY","0.5","med",4.53004210796443,3.28156367818373,5.87298711175595
"112","low","Very Low Prod.","ppnCUUpper","0.75","high",0.177777777777778,0.122222222222222,0.225
"113","low","Very Low Prod.","ppnCUUpper","0.05","low",0.303472222222222,0.261111111111111,0.337569444444444
"114","low","Very Low Prod.","ppnCUUpper","0.5","med",0.213194444444444,0.1625,0.261111111111111
"115","low","Very Low Prod.","ppnCUExtant","0.75","high",0.944444444444444,0.888888888888889,1
"116","low","Very Low Prod.","ppnCUExtant","0.05","low",1,0.944444444444444,1
"117","low","Very Low Prod.","ppnCUExtant","0.5","med",0.944444444444444,0.888888888888889,1
"118","low","Very Low Prod.","medCatch","0.75","high",1.2535299731731,0.839405704250753,1.6646405955615
"119","low","Very Low Prod.","medCatch","0.05","low",2.44297607825696,1.87623954849866,3.04023734200026
"120","low","Very Low Prod.","medCatch","0.5","med",1.50931332810686,1.08390184384993,1.97119570831962
"121","low","Very Low Prod.","ppnYrsHighCatch","0.75","high",0.625,0.425,0.8
"122","low","Very Low Prod.","ppnYrsHighCatch","0.05","low",0.9,0.82375,0.95
