"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"89","med","Low Prod.","stabilityCatch","0.05","low",1.27988835336827,0.954160944982984,1.56963229566644
"90","med","Low Prod.","stabilityCatch","0.5","med",1.10406896726543,0.734180832936679,1.39497316449744
"91","high","Low Prod.","medRecRY","0.75","high",4.04346930483004,2.79799518376388,6.79955041122007
"92","high","Low Prod.","medRecRY","0.05","low",4.79420740421767,3.86110970184519,6.35690430660971
"93","high","Low Prod.","medRecRY","0.5","med",4.29077469344682,3.06374583571433,6.52793217496489
"94","high","Low Prod.","ppnCUUpper","0.75","high",0.231944444444444,0.162361111111111,0.334236111111111
"95","high","Low Prod.","ppnCUUpper","0.05","low",0.221527777777777,0.192986111111112,0.259791666666666
"96","high","Low Prod.","ppnCUUpper","0.5","med",0.229166666666667,0.16625,0.308472222222222
"97","high","Low Prod.","ppnMixedOpen","0.75","high",0.540625,0.4246875,0.6815625
"98","high","Low Prod.","ppnMixedOpen","0.05","low",0.5875,0.5125,0.68125
"99","high","Low Prod.","ppnMixedOpen","0.5","med",0.55,0.4559375,0.68125
"100","high","Low Prod.","medCatch","0.75","high",1.30839516124033,0.92308087729897,2.37818314558717
"101","high","Low Prod.","medCatch","0.05","low",1.56634544014742,1.24284266186541,2.15361439958318
"102","high","Low Prod.","medCatch","0.5","med",1.41852675597155,0.884554279757276,2.25590658816801
"103","high","Low Prod.","ppnYrsHighCatch","0.75","high",0.6,0.475,0.80125
"104","high","Low Prod.","ppnYrsHighCatch","0.05","low",0.75,0.59875,0.85
"105","high","Low Prod.","ppnYrsHighCatch","0.5","med",0.65,0.475,0.8
"106","high","Low Prod.","stabilityCatch","0.75","high",0.899187392437363,0.61777470097087,1.16972713670604
"107","high","Low Prod.","stabilityCatch","0.05","low",1.19593382249455,0.852143654630166,1.46403713226611
"108","high","Low Prod.","stabilityCatch","0.5","med",0.973589256226364,0.644954430963139,1.27909932342439
"109","low","Low Prod. Heavy Tails","medRecRY","0.75","high",3.7449388372052,2.2970745414615,5.82479284162232
"110","low","Low Prod. Heavy Tails","medRecRY","0.05","low",4.24157911597379,3.1474783603012,5.36740020427848
"111","low","Low Prod. Heavy Tails","medRecRY","0.5","med",3.97151447842694,2.54227094688572,5.7944772120528
"112","low","Low Prod. Heavy Tails","ppnCUUpper","0.75","high",0.220833333333333,0.147013888888889,0.307222222222222
"113","low","Low Prod. Heavy Tails","ppnCUUpper","0.05","low",0.215277777777778,0.181805555555555,0.255833333333334
"114","low","Low Prod. Heavy Tails","ppnCUUpper","0.5","med",0.216666666666667,0.156805555555555,0.284791666666666
"115","low","Low Prod. Heavy Tails","ppnMixedOpen","0.75","high",0.521875,0.380625,0.6628125
"116","low","Low Prod. Heavy Tails","ppnMixedOpen","0.05","low",0.5625,0.49375,0.65
"117","low","Low Prod. Heavy Tails","ppnMixedOpen","0.5","med",0.534375,0.4184375,0.65
"118","low","Low Prod. Heavy Tails","medCatch","0.75","high",1.2252461926891,0.737158390641874,1.93492191178953
"119","low","Low Prod. Heavy Tails","medCatch","0.05","low",1.38340918571921,1.03257596682818,1.74508739260685
"120","low","Low Prod. Heavy Tails","medCatch","0.5","med",1.2817594936508,0.806585415856489,1.93194192644014
"121","low","Low Prod. Heavy Tails","ppnYrsHighCatch","0.75","high",0.575,0.4,0.75125
"122","low","Low Prod. Heavy Tails","ppnYrsHighCatch","0.05","low",0.675,0.52375,0.775
"123","low","Low Prod. Heavy Tails","ppnYrsHighCatch","0.5","med",0.6,0.42375,0.775
"124","low","Low Prod. Heavy Tails","stabilityCatch","0.75","high",0.679424027322959,0.43587174925065,1.11939082424147
"125","low","Low Prod. Heavy Tails","stabilityCatch","0.05","low",0.803890750318621,0.536184719793003,1.29918517693275
"126","low","Low Prod. Heavy Tails","stabilityCatch","0.5","med",0.725799196121397,0.445556348699053,1.10098054563629
"127","med","Low Prod. Heavy Tails","medRecRY","0.75","high",3.92667979451975,2.21626479015134,6.94711881768085
"128","med","Low Prod. Heavy Tails","medRecRY","0.05","low",4.84841660722081,3.76246688464264,6.39287844147323
"129","med","Low Prod. Heavy Tails","medRecRY","0.5","med",4.11696783726723,2.64934240990466,6.77705345138297
"130","med","Low Prod. Heavy Tails","ppnCUUpper","0.75","high",0.234722222222222,0.15,0.337569444444444
"131","med","Low Prod. Heavy Tails","ppnCUUpper","0.05","low",0.224305555555556,0.190208333333334,0.276388888888889
