"sigma","om","var","synch","medn","lowQ","highQ"
"low","Low Prod. Heavy Tails","ppnMixedOpen","high",0.5375,0.3875,0.65625
"low","Low Prod. Heavy Tails","ppnMixedOpen","low",0.56875,0.48125,0.65625
"low","Low Prod. Heavy Tails","ppnMixedOpen","med",0.55,0.41875,0.65625
"low","Low Prod. Heavy Tails","medCatch","high",1.24544776613658,0.734205221119584,1.96626968325885
"low","Low Prod. Heavy Tails","medCatch","low",1.37858464474508,1.02544869636415,1.88989535194974
"low","Low Prod. Heavy Tails","medCatch","med",1.30914647054387,0.81226670867189,1.90906440616763
"low","Low Prod. Heavy Tails","ppnYrsHighCatch","high",0.6,0.375,0.775
"low","Low Prod. Heavy Tails","ppnYrsHighCatch","low",0.675,0.5,0.825
"low","Low Prod. Heavy Tails","ppnYrsHighCatch","med",0.625,0.42375,0.776249999999999
"low","Low Prod. Heavy Tails","stabilityCatch","high",0.675211650986669,0.41729293667475,1.07369400642175
"low","Low Prod. Heavy Tails","stabilityCatch","low",0.815107473772319,0.530604247592304,1.28448588006786
"low","Low Prod. Heavy Tails","stabilityCatch","med",0.733571262066328,0.457470038952458,1.10427760610778
"med","Low Prod. Heavy Tails","medRecRY","high",3.98786845958074,2.17301183451297,6.53088457372538
"med","Low Prod. Heavy Tails","medRecRY","low",4.82703290239357,3.54064004227282,7.08893969540538
"med","Low Prod. Heavy Tails","medRecRY","med",4.22292949505062,2.59130379351603,6.72106801833911
"med","Low Prod. Heavy Tails","ppnCUUpper","high",0.2375,0.155555555555556,0.327777777777778
"med","Low Prod. Heavy Tails","ppnCUUpper","low",0.230555555555556,0.190277777777778,0.276388888888889
"med","Low Prod. Heavy Tails","ppnCUUpper","med",0.2375,0.163888888888889,0.311180555555555
"med","Low Prod. Heavy Tails","ppnMixedOpen","high",0.5375,0.38125,0.66875
"med","Low Prod. Heavy Tails","ppnMixedOpen","low",0.58125,0.4875,0.66875
"med","Low Prod. Heavy Tails","ppnMixedOpen","med",0.55625,0.41875,0.66875
